Date,Month,Day,Hours,Minutes,Weekend ,Intensity
1,10,Sat,0,15,1,240
1,10,Sat,0,30,1,206
1,10,Sat,0,45,1,200
1,10,Sat,1,0,1,198
1,10,Sat,1,15,1,168
1,10,Sat,1,30,1,164
1,10,Sat,1,45,1,163
1,10,Sat,2,0,1,159
1,10,Sat,2,15,1,160
1,10,Sat,2,30,1,160
1,10,Sat,2,45,1,159
1,10,Sat,3,0,1,152
1,10,Sat,3,15,1,144
1,10,Sat,3,30,1,147
1,10,Sat,3,45,1,146
1,10,Sat,4,0,1,138
1,10,Sat,4,15,1,132
1,10,Sat,4,30,1,132
1,10,Sat,4,45,1,133
1,10,Sat,5,0,1,124
1,10,Sat,5,15,1,124
1,10,Sat,5,30,1,126
1,10,Sat,5,45,1,139
1,10,Sat,6,0,1,139
1,10,Sat,6,15,1,147
1,10,Sat,6,30,1,147
1,10,Sat,6,45,1,161
1,10,Sat,7,0,1,157
1,10,Sat,7,15,1,160
1,10,Sat,7,30,1,169
1,10,Sat,7,45,1,174
1,10,Sat,8,0,1,179
1,10,Sat,8,15,1,175
1,10,Sat,8,30,1,178
1,10,Sat,8,45,1,175
1,10,Sat,9,0,1,177
1,10,Sat,9,15,1,192
1,10,Sat,9,30,1,195
1,10,Sat,9,45,1,194
1,10,Sat,10,0,1,196
1,10,Sat,10,15,1,207
1,10,Sat,10,30,1,208
1,10,Sat,10,45,1,218
1,10,Sat,11,0,1,215
1,10,Sat,11,15,1,220
1,10,Sat,11,30,1,217
1,10,Sat,11,45,1,221
1,10,Sat,12,0,1,220
1,10,Sat,12,15,1,229
1,10,Sat,12,30,1,225
1,10,Sat,12,45,1,225
1,10,Sat,13,0,1,228
1,10,Sat,13,15,1,228
1,10,Sat,13,30,1,223
1,10,Sat,13,45,1,215
1,10,Sat,14,0,1,216
1,10,Sat,14,15,1,212
1,10,Sat,14,30,1,212
1,10,Sat,14,45,1,212
1,10,Sat,15,0,1,211
1,10,Sat,15,15,1,209
1,10,Sat,15,30,1,208
1,10,Sat,15,45,1,208
1,10,Sat,16,0,1,214
1,10,Sat,16,15,1,228
1,10,Sat,16,30,1,223
1,10,Sat,16,45,1,234
1,10,Sat,17,0,1,235
1,10,Sat,17,15,1,245
1,10,Sat,17,30,1,244
1,10,Sat,17,45,1,241
1,10,Sat,18,0,1,242
1,10,Sat,18,15,1,246
1,10,Sat,18,30,1,247
1,10,Sat,18,45,1,267
1,10,Sat,19,0,1,273
1,10,Sat,19,15,1,276
1,10,Sat,19,30,1,281
1,10,Sat,19,45,1,282
1,10,Sat,20,0,1,282
1,10,Sat,20,15,1,285
1,10,Sat,20,30,1,279
1,10,Sat,20,45,1,279
1,10,Sat,21,0,1,280
1,10,Sat,21,15,1,266
1,10,Sat,21,30,1,273
1,10,Sat,21,45,1,257
1,10,Sat,22,0,1,247
1,10,Sat,22,15,1,240
1,10,Sat,22,30,1,237
1,10,Sat,22,45,1,234
1,10,Sat,23,0,1,233
1,10,Sat,23,15,1,234
1,10,Sat,23,30,1,235
1,10,Sat,23,45,1,210
2,10,Sun,0,0,0,184
2,10,Sun,0,15,0,202
2,10,Sun,0,30,0,185
2,10,Sun,0,45,0,171
2,10,Sun,1,0,0,174
2,10,Sun,1,15,0,166
2,10,Sun,1,30,0,168
2,10,Sun,1,45,0,155
2,10,Sun,2,0,0,160
2,10,Sun,2,15,0,142
2,10,Sun,2,30,0,142
2,10,Sun,2,45,0,137
2,10,Sun,3,0,0,132
2,10,Sun,3,15,0,127
2,10,Sun,3,30,0,123
2,10,Sun,3,45,0,122
2,10,Sun,4,0,0,122
2,10,Sun,4,15,0,127
2,10,Sun,4,30,0,130
2,10,Sun,4,45,0,131
2,10,Sun,5,0,0,129
2,10,Sun,5,15,0,137
2,10,Sun,5,30,0,140
2,10,Sun,5,45,0,142
2,10,Sun,6,0,0,137
2,10,Sun,6,15,0,153
2,10,Sun,6,30,0,154
2,10,Sun,6,45,0,173
2,10,Sun,7,0,0,174
2,10,Sun,7,15,0,183
2,10,Sun,7,30,0,186
2,10,Sun,7,45,0,206
2,10,Sun,8,0,0,207
2,10,Sun,8,15,0,217
2,10,Sun,8,30,0,208
2,10,Sun,8,45,0,212
2,10,Sun,9,0,0,210
2,10,Sun,9,15,0,230
2,10,Sun,9,30,0,230
2,10,Sun,9,45,0,227
2,10,Sun,10,0,0,211
2,10,Sun,10,15,0,211
2,10,Sun,10,30,0,211
2,10,Sun,10,45,0,212
2,10,Sun,11,0,0,216
2,10,Sun,11,15,0,223
2,10,Sun,11,30,0,227
2,10,Sun,11,45,0,231
2,10,Sun,12,0,0,228
2,10,Sun,12,15,0,223
2,10,Sun,12,30,0,221
2,10,Sun,12,45,0,221
2,10,Sun,13,0,0,223
2,10,Sun,13,15,0,221
2,10,Sun,13,30,0,216
2,10,Sun,13,45,0,217
2,10,Sun,14,0,0,214
2,10,Sun,14,15,0,214
2,10,Sun,14,30,0,212
2,10,Sun,14,45,0,211
2,10,Sun,15,0,0,210
2,10,Sun,15,15,0,211
2,10,Sun,15,30,0,212
2,10,Sun,15,45,0,213
2,10,Sun,16,0,0,214
2,10,Sun,16,15,0,221
2,10,Sun,16,30,0,223
2,10,Sun,16,45,0,225
2,10,Sun,17,0,0,224
2,10,Sun,17,15,0,247
2,10,Sun,17,30,0,242
2,10,Sun,17,45,0,251
2,10,Sun,18,0,0,249
2,10,Sun,18,15,0,261
2,10,Sun,18,30,0,260
2,10,Sun,18,45,0,259
2,10,Sun,19,0,0,261
2,10,Sun,19,15,0,267
2,10,Sun,19,30,0,267
2,10,Sun,19,45,0,265
2,10,Sun,20,0,0,263
2,10,Sun,20,15,0,275
2,10,Sun,20,30,0,269
2,10,Sun,20,45,0,265
2,10,Sun,21,0,0,258
2,10,Sun,21,15,0,261
2,10,Sun,21,30,0,263
2,10,Sun,21,45,0,251
2,10,Sun,22,0,0,248
2,10,Sun,22,15,0,250
2,10,Sun,22,30,0,252
2,10,Sun,22,45,0,235
2,10,Sun,23,0,0,230
2,10,Sun,23,15,0,222
2,10,Sun,23,30,0,222
2,10,Sun,23,45,0,194
3,10,Mon,0,0,0,179
3,10,Mon,0,15,0,182
3,10,Mon,0,30,0,177
3,10,Mon,0,45,0,160
3,10,Mon,1,0,0,159
3,10,Mon,1,15,0,148
3,10,Mon,1,30,0,153
3,10,Mon,1,45,0,144
3,10,Mon,2,0,0,143
3,10,Mon,2,15,0,131
3,10,Mon,2,30,0,142
3,10,Mon,2,45,0,127
3,10,Mon,3,0,0,129
3,10,Mon,3,15,0,128
3,10,Mon,3,30,0,128
3,10,Mon,3,45,0,124
3,10,Mon,4,0,0,121
3,10,Mon,4,15,0,113
3,10,Mon,4,30,0,124
3,10,Mon,4,45,0,134
3,10,Mon,5,0,0,134
3,10,Mon,5,15,0,137
3,10,Mon,5,30,0,140
3,10,Mon,5,45,0,135
3,10,Mon,6,0,0,142
3,10,Mon,6,15,0,143
3,10,Mon,6,30,0,147
3,10,Mon,6,45,0,159
3,10,Mon,7,0,0,164
3,10,Mon,7,15,0,174
3,10,Mon,7,30,0,192
3,10,Mon,7,45,0,211
3,10,Mon,8,0,0,222
3,10,Mon,8,15,0,210
3,10,Mon,8,30,0,211
3,10,Mon,8,45,0,210
3,10,Mon,9,0,0,206
3,10,Mon,9,15,0,212
3,10,Mon,9,30,0,207
3,10,Mon,9,45,0,204
3,10,Mon,10,0,0,202
3,10,Mon,10,15,0,209
3,10,Mon,10,30,0,225
3,10,Mon,10,45,0,226
3,10,Mon,11,0,0,233
3,10,Mon,11,15,0,233
3,10,Mon,11,30,0,229
3,10,Mon,11,45,0,231
3,10,Mon,12,0,0,236
3,10,Mon,12,15,0,230
3,10,Mon,12,30,0,234
3,10,Mon,12,45,0,237
3,10,Mon,13,0,0,232
