Date,Month,Day,Hours,Minutes,Weekend ,Intensity
1,10,Saturday,0,15,1,298
1,10,Saturday,0,30,1,310
1,10,Saturday,0,45,1,303
1,10,Saturday,1,0,1,292
1,10,Saturday,1,15,1,278
1,10,Saturday,1,30,1,274
1,10,Saturday,1,45,1,276
1,10,Saturday,2,0,1,269
1,10,Saturday,2,15,1,254
1,10,Saturday,2,30,1,254
1,10,Saturday,2,45,1,239
1,10,Saturday,3,0,1,238
1,10,Saturday,3,15,1,232
1,10,Saturday,3,30,1,228
1,10,Saturday,3,45,1,229
1,10,Saturday,4,0,1,228
1,10,Saturday,4,15,1,227
1,10,Saturday,4,30,1,230
1,10,Saturday,4,45,1,230
1,10,Saturday,5,0,1,230
1,10,Saturday,5,15,1,230
1,10,Saturday,5,30,1,230
1,10,Saturday,5,45,1,230
1,10,Saturday,6,0,1,230
1,10,Saturday,6,15,1,230
1,10,Saturday,6,30,1,230
1,10,Saturday,6,45,1,230
1,10,Saturday,7,0,1,230
1,10,Saturday,7,15,1,230
1,10,Saturday,7,30,1,230
1,10,Saturday,7,45,1,230
1,10,Saturday,8,0,1,230
1,10,Saturday,8,15,1,230
1,10,Saturday,8,30,1,230
1,10,Saturday,8,45,1,230
1,10,Saturday,9,0,1,230
1,10,Saturday,9,15,1,230
1,10,Saturday,9,30,1,230
1,10,Saturday,9,45,1,230
1,10,Saturday,10,0,1,230
1,10,Saturday,10,15,1,230
1,10,Saturday,10,30,1,230
1,10,Saturday,10,45,1,230
1,10,Saturday,11,0,1,230
1,10,Saturday,11,15,1,230
1,10,Saturday,11,30,1,230
1,10,Saturday,11,45,1,230
1,10,Saturday,12,0,1,230
1,10,Saturday,12,15,1,230
1,10,Saturday,12,30,1,230
1,10,Saturday,12,45,1,240
1,10,Saturday,13,0,1,445
1,10,Saturday,13,15,1,438
1,10,Saturday,13,30,1,436
1,10,Saturday,13,45,1,455
1,10,Saturday,14,0,1,455
1,10,Saturday,14,15,1,455
1,10,Saturday,14,30,1,455
1,10,Saturday,14,45,1,414
1,10,Saturday,15,0,1,416
1,10,Saturday,15,15,1,399
1,10,Saturday,15,30,1,399
1,10,Saturday,15,45,1,399
1,10,Saturday,16,0,1,399
1,10,Saturday,16,15,1,399
1,10,Saturday,16,30,1,399
1,10,Saturday,16,45,1,399
1,10,Saturday,17,0,1,399
1,10,Saturday,17,15,1,399
1,10,Saturday,17,30,1,399
1,10,Saturday,17,45,1,462
1,10,Saturday,18,0,1,468
1,10,Saturday,18,15,1,468
1,10,Saturday,18,30,1,468
1,10,Saturday,18,45,1,468
1,10,Saturday,19,0,1,468
1,10,Saturday,19,15,1,468
1,10,Saturday,19,30,1,468
1,10,Saturday,19,45,1,468
1,10,Saturday,20,0,1,468
1,10,Saturday,20,15,1,515
1,10,Saturday,20,30,1,505
1,10,Saturday,20,45,1,490
1,10,Saturday,21,0,1,483
1,10,Saturday,21,15,1,483
1,10,Saturday,21,30,1,483
1,10,Saturday,21,45,1,483
1,10,Saturday,22,0,1,483
1,10,Saturday,22,15,1,483
1,10,Saturday,22,30,1,483
1,10,Saturday,22,45,1,409
1,10,Saturday,23,0,1,393
1,10,Saturday,23,15,1,393
1,10,Saturday,23,30,1,393
1,10,Saturday,23,45,1,393
2,10,Sunday,0,0,0,363
2,10,Sunday,0,15,0,321
2,10,Sunday,0,30,0,309
2,10,Sunday,0,45,0,289
2,10,Sunday,1,0,0,289
2,10,Sunday,1,15,0,289
2,10,Sunday,1,30,0,289
2,10,Sunday,1,45,0,289
2,10,Sunday,2,0,0,289
2,10,Sunday,2,15,0,289
2,10,Sunday,2,30,0,289
2,10,Sunday,2,45,0,289
2,10,Sunday,3,0,0,289
2,10,Sunday,3,15,0,289
2,10,Sunday,3,30,0,289
2,10,Sunday,3,45,0,289
2,10,Sunday,4,0,0,289
2,10,Sunday,4,15,0,289
2,10,Sunday,4,30,0,232
2,10,Sunday,4,45,0,242
2,10,Sunday,5,0,0,242
2,10,Sunday,5,15,0,242
2,10,Sunday,5,30,0,242
2,10,Sunday,5,45,0,242
2,10,Sunday,6,0,0,242
2,10,Sunday,6,15,0,242
2,10,Sunday,6,30,0,242
2,10,Sunday,6,45,0,242
2,10,Sunday,7,0,0,277
2,10,Sunday,7,15,0,291
2,10,Sunday,7,30,0,305
2,10,Sunday,7,45,0,305
2,10,Sunday,8,0,0,305
2,10,Sunday,8,15,0,305
2,10,Sunday,8,30,0,305
2,10,Sunday,8,45,0,305
2,10,Sunday,9,0,0,305
2,10,Sunday,9,15,0,305
2,10,Sunday,9,30,0,394
2,10,Sunday,9,45,0,401
2,10,Sunday,10,0,0,401
2,10,Sunday,10,15,0,401
2,10,Sunday,10,30,0,401
2,10,Sunday,10,45,0,401
2,10,Sunday,11,0,0,401
2,10,Sunday,11,15,0,401
2,10,Sunday,11,30,0,401
2,10,Sunday,11,45,0,401
2,10,Sunday,12,0,0,401
2,10,Sunday,12,15,0,401
2,10,Sunday,12,30,0,401
2,10,Sunday,12,45,0,401
2,10,Sunday,13,0,0,401
2,10,Sunday,13,15,0,401
2,10,Sunday,13,30,0,401
2,10,Sunday,13,45,0,401
2,10,Sunday,14,0,0,401
2,10,Sunday,14,15,0,401
2,10,Sunday,14,30,0,401
2,10,Sunday,14,45,0,401
2,10,Sunday,15,0,0,401
2,10,Sunday,15,15,0,401
2,10,Sunday,15,30,0,401
2,10,Sunday,15,45,0,401
2,10,Sunday,16,0,0,401
2,10,Sunday,16,15,0,401
2,10,Sunday,16,30,0,401
2,10,Sunday,16,45,0,401
2,10,Sunday,17,0,0,401
2,10,Sunday,17,15,0,401
2,10,Sunday,17,30,0,401
2,10,Sunday,17,45,0,401
2,10,Sunday,18,0,0,401
2,10,Sunday,18,15,0,401
2,10,Sunday,18,30,0,401
2,10,Sunday,18,45,0,409
2,10,Sunday,19,0,0,499
2,10,Sunday,19,15,0,499
2,10,Sunday,19,30,0,499
2,10,Sunday,19,45,0,499
2,10,Sunday,20,0,0,499
2,10,Sunday,20,15,0,499
2,10,Sunday,20,30,0,499
2,10,Sunday,20,45,0,499
2,10,Sunday,21,0,0,499
2,10,Sunday,21,15,0,499
2,10,Sunday,21,30,0,499
2,10,Sunday,21,45,0,499
2,10,Sunday,22,0,0,519
2,10,Sunday,22,15,0,438
2,10,Sunday,22,30,0,431
2,10,Sunday,22,45,0,431
2,10,Sunday,23,0,0,431
2,10,Sunday,23,15,0,431
2,10,Sunday,23,30,0,431
2,10,Sunday,23,45,0,431
3,10,Monday,0,0,0,431
3,10,Monday,0,15,0,431
3,10,Monday,0,30,0,431
3,10,Monday,0,45,0,431
3,10,Monday,1,0,0,290
3,10,Monday,1,15,0,280
3,10,Monday,1,30,0,280
3,10,Monday,1,45,0,280
3,10,Monday,2,0,0,280
3,10,Monday,2,15,0,280
3,10,Monday,2,30,0,280
3,10,Monday,2,45,0,280
3,10,Monday,3,0,0,280
3,10,Monday,3,15,0,280
3,10,Monday,3,30,0,280
3,10,Monday,3,45,0,280
3,10,Monday,4,0,0,280
3,10,Monday,4,15,0,238
3,10,Monday,4,30,0,238
3,10,Monday,4,45,0,238
3,10,Monday,5,0,0,238
3,10,Monday,5,15,0,238
3,10,Monday,5,30,0,238
3,10,Monday,5,45,0,238
3,10,Monday,6,0,0,238
3,10,Monday,6,15,0,238
3,10,Monday,6,30,0,238
3,10,Monday,6,45,0,238
3,10,Monday,7,0,0,238
3,10,Monday,7,15,0,238
3,10,Monday,7,30,0,238
3,10,Monday,7,45,0,238
3,10,Monday,8,0,0,238
3,10,Monday,8,15,0,238
3,10,Monday,8,30,0,238
3,10,Monday,8,45,0,238
3,10,Monday,9,0,0,238
3,10,Monday,9,15,0,238
3,10,Monday,9,30,0,238
3,10,Monday,9,45,0,238
3,10,Monday,10,0,0,238
3,10,Monday,10,15,0,238
3,10,Monday,10,30,0,238
3,10,Monday,10,45,0,238
3,10,Monday,11,0,0,238
3,10,Monday,11,15,0,238
3,10,Monday,11,30,0,238
3,10,Monday,11,45,0,238
3,10,Monday,12,0,0,238
3,10,Monday,12,15,0,238
3,10,Monday,12,30,0,238
3,10,Monday,12,45,0,238
3,10,Monday,13,0,0,238
3,10,Monday,13,15,0,238
3,10,Monday,13,30,0,238
3,10,Monday,13,45,0,238
3,10,Monday,14,0,0,238
3,10,Monday,14,15,0,238
3,10,Monday,14,30,0,238
3,10,Monday,14,45,0,238
3,10,Monday,15,0,0,238
3,10,Monday,15,15,0,238
3,10,Monday,15,30,0,238
3,10,Monday,15,45,0,238
3,10,Monday,16,0,0,238
3,10,Monday,16,15,0,238
3,10,Monday,16,30,0,238
3,10,Monday,16,45,0,238
3,10,Monday,17,0,0,238
3,10,Monday,17,15,0,238
3,10,Monday,17,30,0,238
3,10,Monday,17,45,0,238
3,10,Monday,18,0,0,238
3,10,Monday,18,15,0,238
3,10,Monday,18,30,0,238
3,10,Monday,18,45,0,238
3,10,Monday,19,0,0,238
3,10,Monday,19,15,0,238
3,10,Monday,19,30,0,238
3,10,Monday,19,45,0,238
3,10,Monday,20,0,0,238
3,10,Monday,20,15,0,238
3,10,Monday,20,30,0,238
3,10,Monday,20,45,0,238
3,10,Monday,21,0,0,238
3,10,Monday,21,15,0,238
3,10,Monday,21,30,0,238
3,10,Monday,21,45,0,238
3,10,Monday,22,0,0,238
3,10,Monday,22,15,0,238
3,10,Monday,22,30,0,238
3,10,Monday,22,45,0,238
3,10,Monday,23,0,0,238
3,10,Monday,23,15,0,238
3,10,Monday,23,30,0,238
3,10,Monday,23,45,0,238
4,10,Tuesday,0,0,0,238
