Date,Month,Day,Hours,Minutes,Weekend ,Intensity
1,10,Sat,0,15,1,273
1,10,Sat,0,30,1,228
1,10,Sat,0,45,1,218
1,10,Sat,1,0,1,210
1,10,Sat,1,15,1,190
1,10,Sat,1,30,1,189
1,10,Sat,1,45,1,184
1,10,Sat,2,0,1,181
1,10,Sat,2,15,1,172
1,10,Sat,2,30,1,173
1,10,Sat,2,45,1,155
1,10,Sat,3,0,1,155
1,10,Sat,3,15,1,152
1,10,Sat,3,30,1,152
1,10,Sat,3,45,1,151
1,10,Sat,4,0,1,153
1,10,Sat,4,15,1,150
1,10,Sat,4,30,1,148
1,10,Sat,4,45,1,155
1,10,Sat,5,0,1,160
1,10,Sat,5,15,1,177
1,10,Sat,5,30,1,185
1,10,Sat,5,45,1,186
1,10,Sat,6,0,1,187
1,10,Sat,6,15,1,196
1,10,Sat,6,30,1,198
1,10,Sat,6,45,1,210
1,10,Sat,7,0,1,213
1,10,Sat,7,15,1,221
1,10,Sat,7,30,1,224
1,10,Sat,7,45,1,241
1,10,Sat,8,0,1,246
1,10,Sat,8,15,1,248
1,10,Sat,8,30,1,251
1,10,Sat,8,45,1,246
1,10,Sat,9,0,1,253
1,10,Sat,9,15,1,247
1,10,Sat,9,30,1,256
1,10,Sat,9,45,1,262
1,10,Sat,10,0,1,266
1,10,Sat,10,15,1,272
1,10,Sat,10,30,1,274
1,10,Sat,10,45,1,289
1,10,Sat,11,0,1,287
1,10,Sat,11,15,1,286
1,10,Sat,11,30,1,285
1,10,Sat,11,45,1,289
1,10,Sat,12,0,1,286
1,10,Sat,12,15,1,291
1,10,Sat,12,30,1,285
1,10,Sat,12,45,1,282
1,10,Sat,13,0,1,279
1,10,Sat,13,15,1,281
1,10,Sat,13,30,1,273
1,10,Sat,13,45,1,282
1,10,Sat,14,0,1,271
1,10,Sat,14,15,1,268
1,10,Sat,14,30,1,274
1,10,Sat,14,45,1,277
1,10,Sat,15,0,1,272
1,10,Sat,15,15,1,271
1,10,Sat,15,30,1,272
1,10,Sat,15,45,1,268
1,10,Sat,16,0,1,272
1,10,Sat,16,15,1,276
1,10,Sat,16,30,1,274
1,10,Sat,16,45,1,282
1,10,Sat,17,0,1,285
1,10,Sat,17,15,1,287
1,10,Sat,17,30,1,282
1,10,Sat,17,45,1,292
1,10,Sat,18,0,1,298
1,10,Sat,18,15,1,302
1,10,Sat,18,30,1,303
1,10,Sat,18,45,1,309
1,10,Sat,19,0,1,307
1,10,Sat,19,15,1,310
1,10,Sat,19,30,1,319
1,10,Sat,19,45,1,316
1,10,Sat,20,0,1,321
1,10,Sat,20,15,1,322
1,10,Sat,20,30,1,318
1,10,Sat,20,45,1,316
1,10,Sat,21,0,1,316
1,10,Sat,21,15,1,320
1,10,Sat,21,30,1,315
1,10,Sat,21,45,1,306
1,10,Sat,22,0,1,305
1,10,Sat,22,15,1,306
1,10,Sat,22,30,1,289
1,10,Sat,22,45,1,292
1,10,Sat,23,0,1,288
1,10,Sat,23,15,1,284
1,10,Sat,23,30,1,278
1,10,Sat,23,45,1,266
2,10,Sun,0,0,0,262
2,10,Sun,0,15,0,254
2,10,Sun,0,30,0,249
2,10,Sun,0,45,0,225
2,10,Sun,1,0,0,224
2,10,Sun,1,15,0,214
2,10,Sun,1,30,0,202
2,10,Sun,1,45,0,186
2,10,Sun,2,0,0,183
2,10,Sun,2,15,0,171
2,10,Sun,2,30,0,167
2,10,Sun,2,45,0,153
2,10,Sun,3,0,0,152
2,10,Sun,3,15,0,150
2,10,Sun,3,30,0,148
2,10,Sun,3,45,0,142
2,10,Sun,4,0,0,150
2,10,Sun,4,15,0,151
2,10,Sun,4,30,0,150
2,10,Sun,4,45,0,158
2,10,Sun,5,0,0,164
2,10,Sun,5,15,0,185
2,10,Sun,5,30,0,184
2,10,Sun,5,45,0,200
2,10,Sun,6,0,0,204
2,10,Sun,6,15,0,212
2,10,Sun,6,30,0,212
2,10,Sun,6,45,0,227
2,10,Sun,7,0,0,227
2,10,Sun,7,15,0,245
2,10,Sun,7,30,0,255
2,10,Sun,7,45,0,262
2,10,Sun,8,0,0,265
2,10,Sun,8,15,0,266
2,10,Sun,8,30,0,264
2,10,Sun,8,45,0,266
2,10,Sun,9,0,0,264
2,10,Sun,9,15,0,265
2,10,Sun,9,30,0,259
2,10,Sun,9,45,0,261
2,10,Sun,10,0,0,262
2,10,Sun,10,15,0,263
2,10,Sun,10,30,0,272
2,10,Sun,10,45,0,275
2,10,Sun,11,0,0,281
2,10,Sun,11,15,0,282
2,10,Sun,11,30,0,283
2,10,Sun,11,45,0,282
2,10,Sun,12,0,0,278
2,10,Sun,12,15,0,279
2,10,Sun,12,30,0,277
2,10,Sun,12,45,0,273
2,10,Sun,13,0,0,266
2,10,Sun,13,15,0,265
2,10,Sun,13,30,0,272
2,10,Sun,13,45,0,266
2,10,Sun,14,0,0,265
2,10,Sun,14,15,0,260
2,10,Sun,14,30,0,264
2,10,Sun,14,45,0,269
2,10,Sun,15,0,0,263
2,10,Sun,15,15,0,261
2,10,Sun,15,30,0,259
2,10,Sun,15,45,0,260
2,10,Sun,16,0,0,267
2,10,Sun,16,15,0,266
2,10,Sun,16,30,0,268
2,10,Sun,16,45,0,275
2,10,Sun,17,0,0,273
2,10,Sun,17,15,0,281
2,10,Sun,17,30,0,289
2,10,Sun,17,45,0,303
2,10,Sun,18,0,0,303
2,10,Sun,18,15,0,305
2,10,Sun,18,30,0,312
2,10,Sun,18,45,0,321
2,10,Sun,19,0,0,305
2,10,Sun,19,15,0,319
2,10,Sun,19,30,0,321
2,10,Sun,19,45,0,321
2,10,Sun,20,0,0,326
2,10,Sun,20,15,0,314
2,10,Sun,20,30,0,316
2,10,Sun,20,45,0,330
2,10,Sun,21,0,0,321
2,10,Sun,21,15,0,316
