Date,Month,Day,Hours,Minutes,Weekend ,Intensity
1,10,Sat,0,15,1,336
1,10,Sat,0,30,1,229
1,10,Sat,0,45,1,219
1,10,Sat,1,0,1,222
1,10,Sat,1,15,1,207
1,10,Sat,1,30,1,202
1,10,Sat,1,45,1,190
1,10,Sat,2,0,1,184
1,10,Sat,2,15,1,162
1,10,Sat,2,30,1,160
1,10,Sat,2,45,1,162
1,10,Sat,3,0,1,162
1,10,Sat,3,15,1,152
1,10,Sat,3,30,1,144
1,10,Sat,3,45,1,141
1,10,Sat,4,0,1,140
1,10,Sat,4,15,1,138
1,10,Sat,4,30,1,136
1,10,Sat,4,45,1,136
1,10,Sat,5,0,1,139
1,10,Sat,5,15,1,139
1,10,Sat,5,30,1,143
1,10,Sat,5,45,1,167
1,10,Sat,6,0,1,178
1,10,Sat,6,15,1,187
1,10,Sat,6,30,1,193
1,10,Sat,6,45,1,203
1,10,Sat,7,0,1,201
1,10,Sat,7,15,1,209
1,10,Sat,7,30,1,214
1,10,Sat,7,45,1,224
1,10,Sat,8,0,1,228
1,10,Sat,8,15,1,226
1,10,Sat,8,30,1,234
1,10,Sat,8,45,1,241
1,10,Sat,9,0,1,250
1,10,Sat,9,15,1,244
1,10,Sat,9,30,1,246
1,10,Sat,9,45,1,241
1,10,Sat,10,0,1,244
1,10,Sat,10,15,1,253
1,10,Sat,10,30,1,253
1,10,Sat,10,45,1,253
1,10,Sat,11,0,1,253
1,10,Sat,11,15,1,253
1,10,Sat,11,30,1,253
1,10,Sat,11,45,1,253
1,10,Sat,12,0,1,253
1,10,Sat,12,15,1,253
1,10,Sat,12,30,1,253
1,10,Sat,12,45,1,253
1,10,Sat,13,0,1,253
1,10,Sat,13,15,1,253
1,10,Sat,13,30,1,253
1,10,Sat,13,45,1,253
1,10,Sat,14,0,1,253
1,10,Sat,14,15,1,253
1,10,Sat,14,30,1,253
1,10,Sat,14,45,1,253
1,10,Sat,15,0,1,253
1,10,Sat,15,15,1,253
1,10,Sat,15,30,1,253
1,10,Sat,15,45,1,253
1,10,Sat,16,0,1,253
1,10,Sat,16,15,1,253
1,10,Sat,16,30,1,308
1,10,Sat,16,45,1,310
1,10,Sat,17,0,1,317
1,10,Sat,17,15,1,319
1,10,Sat,17,30,1,323
1,10,Sat,17,45,1,338
1,10,Sat,18,0,1,335
1,10,Sat,18,15,1,339
1,10,Sat,18,30,1,344
1,10,Sat,18,45,1,354
1,10,Sat,19,0,1,351
1,10,Sat,19,15,1,355
1,10,Sat,19,30,1,348
1,10,Sat,19,45,1,358
1,10,Sat,20,0,1,359
1,10,Sat,20,15,1,357
1,10,Sat,20,30,1,352
1,10,Sat,20,45,1,343
1,10,Sat,21,0,1,335
1,10,Sat,21,15,1,338
1,10,Sat,21,30,1,330
1,10,Sat,21,45,1,318
1,10,Sat,22,0,1,299
1,10,Sat,22,15,1,294
1,10,Sat,22,30,1,290
1,10,Sat,22,45,1,280
1,10,Sat,23,0,1,269
1,10,Sat,23,15,1,261
1,10,Sat,23,30,1,257
1,10,Sat,23,45,1,248
2,10,Sun,0,0,0,239
2,10,Sun,0,15,0,231
2,10,Sun,0,30,0,227
2,10,Sun,0,45,0,212
2,10,Sun,1,0,0,212
2,10,Sun,1,15,0,205
2,10,Sun,1,30,0,199
2,10,Sun,1,45,0,187
2,10,Sun,2,0,0,183
2,10,Sun,2,15,0,163
2,10,Sun,2,30,0,156
2,10,Sun,2,45,0,147
2,10,Sun,3,0,0,148
2,10,Sun,3,15,0,143
2,10,Sun,3,30,0,133
2,10,Sun,3,45,0,131
2,10,Sun,4,0,0,125
2,10,Sun,4,15,0,129
2,10,Sun,4,30,0,120
2,10,Sun,4,45,0,133
2,10,Sun,5,0,0,138
2,10,Sun,5,15,0,139
2,10,Sun,5,30,0,146
2,10,Sun,5,45,0,168
2,10,Sun,6,0,0,178
2,10,Sun,6,15,0,187
2,10,Sun,6,30,0,196
2,10,Sun,6,45,0,207
2,10,Sun,7,0,0,212
2,10,Sun,7,15,0,212
2,10,Sun,7,30,0,230
2,10,Sun,7,45,0,251
2,10,Sun,8,0,0,263
2,10,Sun,8,15,0,280
2,10,Sun,8,30,0,298
2,10,Sun,8,45,0,308
2,10,Sun,9,0,0,313
2,10,Sun,9,15,0,306
2,10,Sun,9,30,0,307
2,10,Sun,9,45,0,317
2,10,Sun,10,0,0,322
2,10,Sun,10,15,0,328
2,10,Sun,10,30,0,328
2,10,Sun,10,45,0,342
2,10,Sun,11,0,0,355
2,10,Sun,11,15,0,366
2,10,Sun,11,30,0,355
2,10,Sun,11,45,0,361
2,10,Sun,12,0,0,365
2,10,Sun,12,15,0,357
2,10,Sun,12,30,0,352
2,10,Sun,12,45,0,359
2,10,Sun,13,0,0,357
2,10,Sun,13,15,0,363
2,10,Sun,13,30,0,357
2,10,Sun,13,45,0,344
2,10,Sun,14,0,0,347
2,10,Sun,14,15,0,332
