Date,Month,Day,Hours,Minutes,Weekend ,Intensity
1,10,Sat,0,15,1,429
1,10,Sat,0,30,1,311
1,10,Sat,0,45,1,296
1,10,Sat,1,0,1,291
1,10,Sat,1,15,1,277
1,10,Sat,1,30,1,276
1,10,Sat,1,45,1,261
1,10,Sat,2,0,1,254
1,10,Sat,2,15,1,235
1,10,Sat,2,30,1,239
1,10,Sat,2,45,1,218
1,10,Sat,3,0,1,216
1,10,Sat,3,15,1,191
1,10,Sat,3,30,1,189
1,10,Sat,3,45,1,197
1,10,Sat,4,0,1,194
1,10,Sat,4,15,1,195
1,10,Sat,4,30,1,199
1,10,Sat,4,45,1,198
1,10,Sat,5,0,1,200
1,10,Sat,5,15,1,232
1,10,Sat,5,30,1,235
1,10,Sat,5,45,1,245
1,10,Sat,6,0,1,248
1,10,Sat,6,15,1,267
1,10,Sat,6,30,1,275
1,10,Sat,6,45,1,285
1,10,Sat,7,0,1,287
1,10,Sat,7,15,1,298
1,10,Sat,7,30,1,295
1,10,Sat,7,45,1,306
1,10,Sat,8,0,1,308
1,10,Sat,8,15,1,309
1,10,Sat,8,30,1,312
1,10,Sat,8,45,1,322
1,10,Sat,9,0,1,323
1,10,Sat,9,15,1,334
1,10,Sat,9,30,1,337
1,10,Sat,9,45,1,345
1,10,Sat,10,0,1,353
1,10,Sat,10,15,1,378
1,10,Sat,10,30,1,400
1,10,Sat,10,45,1,415
1,10,Sat,11,0,1,419
1,10,Sat,11,15,1,417
1,10,Sat,11,30,1,432
1,10,Sat,11,45,1,436
1,10,Sat,12,0,1,435
1,10,Sat,12,15,1,443
1,10,Sat,12,30,1,447
1,10,Sat,12,45,1,446
1,10,Sat,13,0,1,443
1,10,Sat,13,15,1,446
1,10,Sat,13,30,1,435
1,10,Sat,13,45,1,433
1,10,Sat,14,0,1,430
1,10,Sat,14,15,1,427
1,10,Sat,14,30,1,424
1,10,Sat,14,45,1,428
1,10,Sat,15,0,1,430
1,10,Sat,15,15,1,429
1,10,Sat,15,30,1,440
1,10,Sat,15,45,1,417
1,10,Sat,16,0,1,413
1,10,Sat,16,15,1,422
1,10,Sat,16,30,1,423
1,10,Sat,16,45,1,435
1,10,Sat,17,0,1,429
1,10,Sat,17,15,1,440
1,10,Sat,17,30,1,439
1,10,Sat,17,45,1,444
1,10,Sat,18,0,1,444
1,10,Sat,18,15,1,445
1,10,Sat,18,30,1,451
1,10,Sat,18,45,1,453
1,10,Sat,19,0,1,456
1,10,Sat,19,15,1,454
1,10,Sat,19,30,1,454
1,10,Sat,19,45,1,462
1,10,Sat,20,0,1,454
1,10,Sat,20,15,1,456
1,10,Sat,20,30,1,450
1,10,Sat,20,45,1,447
1,10,Sat,21,0,1,444
1,10,Sat,21,15,1,435
1,10,Sat,21,30,1,428
1,10,Sat,21,45,1,425
1,10,Sat,22,0,1,412
1,10,Sat,22,15,1,405
1,10,Sat,22,30,1,405
1,10,Sat,22,45,1,390
1,10,Sat,23,0,1,379
1,10,Sat,23,15,1,369
1,10,Sat,23,30,1,360
1,10,Sat,23,45,1,343
2,10,Sun,0,0,0,333
2,10,Sun,0,15,0,316
2,10,Sun,0,30,0,309
2,10,Sun,0,45,0,298
2,10,Sun,1,0,0,298
2,10,Sun,1,15,0,286
2,10,Sun,1,30,0,286
2,10,Sun,1,45,0,254
2,10,Sun,2,0,0,247
2,10,Sun,2,15,0,222
2,10,Sun,2,30,0,226
2,10,Sun,2,45,0,212
2,10,Sun,3,0,0,207
2,10,Sun,3,15,0,197
2,10,Sun,3,30,0,196
2,10,Sun,3,45,0,196
2,10,Sun,4,0,0,192
2,10,Sun,4,15,0,201
2,10,Sun,4,30,0,206
2,10,Sun,4,45,0,215
2,10,Sun,5,0,0,220
2,10,Sun,5,15,0,237
2,10,Sun,5,30,0,252
2,10,Sun,5,45,0,252
2,10,Sun,6,0,0,256
2,10,Sun,6,15,0,277
2,10,Sun,6,30,0,280
2,10,Sun,6,45,0,306
2,10,Sun,7,0,0,312
2,10,Sun,7,15,0,322
2,10,Sun,7,30,0,325
2,10,Sun,7,45,0,331
